ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_001	2.70720271	-8.34E-08	6.835273695	7.846930238	2.264950948	1.176011731	1.095265229	1.180196239
SYNAGAD_002	0.020655622	6.18E-08	-0.261801032	-3.019323395	-2.585154254	-0.574424708	-0.34710441	-0.509310723
SYNAGAD_003	-1.853679555	9.90E-08	-5.838074031	-3.824231071	0.772610886	-0.698020634	-0.423512256	-0.652195696
SYNAGAD_004	-1.47881252	1.21E-07	-5.838074031	-2.616869557	1.891865932	-0.832749678	-0.750902007	-0.856130248
SYNAGAD_005	-2.103590912	7.32E-08	-6.34500794	-7.178013057	-1.963345895	-0.903439669	-0.901179847	-0.917479564
SYNAGAD_006	-1.41633468	4.17E-08	-6.851941849	-5.568197704	-0.097920817	-0.643940566	-0.769388931	-0.651588574
SYNAGAD_007	-1.916157394	1.39E-07	-4.317272304	-3.019323395	0.39952587	-0.477886013	-0.700723769	-0.603582712
SYNAGAD_008	-1.666246037	5.89E-08	-4.824206213	-1.409508042	2.264950948	-0.565465025	-0.801552792	-0.686589529
SYNAGAD_009	-2.041113073	8.37E-08	-7.865809668	-6.775559219	-0.471005833	-0.979190662	-0.97961831	-0.964524687
SYNAGAD_010	-2.041113073	1.21E-07	-4.317272304	-5.031592586	-1.465899208	-0.768653031	-0.69997495	-0.784530251
SYNAGAD_011	-2.29102443	3.21E-08	-6.851941849	-3.824231071	1.518780917	-0.824684022	-0.666079349	-0.78833192
SYNAGAD_012	-1.978635234	6.84E-08	-6.851941849	-5.434046424	0.026440855	-0.757974341	-0.229259091	-0.494917107
SYNAGAD_013	-1.978635234	3.03E-08	-7.865809668	-5.434046424	0.772610886	-0.936682764	-0.576322269	-0.876407214
SYNAGAD_014	-2.603413626	2.45E-08	-7.865809668	-9.726887366	-3.206962614	-0.892343056	-0.922450072	-0.93447365
SYNAGAD_015	-1.853679555	4.27E-08	-3.303404486	-1.81196188	0.772610886	-0.57583714	-0.625856626	-0.60123528
SYNAGAD_016	-2.728369305	3.69E-08	-6.851941849	-9.726887366	-3.953132645	-0.649989666	-0.563738862	-0.667803553
SYNAGAD_017	-2.29102443	8.66E-08	-7.865809668	-8.385374572	-1.963345895	-1.041104223	-0.918196328	-1.006375094
SYNAGAD_018	-2.415980108	1.10E-07	-7.865809668	-7.848769454	-1.465899208	-1.045679889	-0.733802342	-0.985756432
SYNAGAD_019	-1.666246038	6.56E-08	-5.838074031	-5.434046424	-0.719729177	-0.438121119	-0.538960591	-0.513791743
SYNAGAD_020	-1.853679555	1.29E-07	-7.865809668	-9.324433528	-2.833877598	-0.92886337	-0.733972066	-0.909104615
SYNAGAD_021	-0.962307828	-9.80E-09	-6.34500794	-6.37310538	-1.217175864	-0.92950735	-1.006649346	-0.960927348
SYNAGAD_022	-1.853679555	2.55E-08	-6.34500794	-8.921979689	-3.580047629	-0.784988712	-0.704977513	-0.772495199
SYNAGAD_023	-2.041113073	4.07E-08	-8.879677486	-5.836500263	1.145695901	-0.721736637	-1.179889302	-0.718224962
